Accession ID,Virus name,Collection date,country,Province,Pango lineage,Variant,clade,partiallyAliased,clade_display,Omicron sublineages
EPI_ISL_17088795,hCoV-19/Guangxi/GCDC-GL-113007/2022,2022-11-28,China,Guangxi,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_17088806,hCoV-19/Guangxi/GCDC-GL-120108/2022,2022-11-28,China,Guangxi,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16327444,hCoV-19/Shanghai/SJTU-234833/2022,2022-11-29,China,Shanghai,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_17088705,hCoV-19/Guangxi/GCDC-HZ-120302/2022,2022-11-29,China,Guangxi,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_17088775,hCoV-19/Guangxi/GCDC-HC-120705/2022,2022-11-30,China,Guangxi,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16634451,hCoV-19/Shanghai/IVDC-1558/2022,2022-12-01,China,Shanghai,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16709482,hCoV-19/Shaanxi/SXCDC-X020/2022,2022-12-02,China,Shaanxi,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_17489529,hCoV-19/Fujian/FCDC-FJFZLG5260/2022,2022-12-02,China,Fujian,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_17088770,hCoV-19/Guangxi/GCDC-YL-120412/2022,2022-12-02,China,Guangxi,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16711997,hCoV-19/Guangdong/GCDC-57154/2022,2022-12-02,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16327468,hCoV-19/Shanghai/SJTU-235014/2022,2022-12-02,China,Shanghai,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16635266,hCoV-19/Inner Mongolia/IVDC-1240/2022,2022-12-03,China,Neimenggu,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16634645,hCoV-19/Shanghai/IVDC-1752/2022,2022-12-03,China,Shanghai,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16635417,hCoV-19/Zhejiang/IVDC-713/2022,2022-12-03,China,Zhejiang,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16709250,hCoV-19/Shaanxi/SXCDC-YA005/2022,2022-12-03,China,Shaanxi,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16711943,hCoV-19/Guangdong/GCDC-57245/2022,2022-12-04,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16712086,hCoV-19/Guangdong/GCDC-57242/2022,2022-12-04,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16327527,hCoV-19/Shanghai/SJTU-235833/2022,2022-12-04,China,Shanghai,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16327447,hCoV-19/Shanghai/SJTU-234836/2022,2022-12-04,China,Shanghai,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16614076,hCoV-19/Jilin/JLCDC-57573/2022,2022-12-04,China,Jilin,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16711878,hCoV-19/Guangdong/GCDC-58503/2022,2022-12-04,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16711842,hCoV-19/Guangdong/GCDC-57220/2022,2022-12-04,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16711849,hCoV-19/Guangdong/GCDC-00098/2022,2022-12-05,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16327515,hCoV-19/Shanghai/SJTU-235613/2022,2022-12-05,China,Shanghai,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16633882,hCoV-19/Anhui/WCDC-60/2022,2022-12-05,China,Anhui,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16617103,hCoV-19/Hubei/HCDC-XT77/2022,2022-12-06,China,Hubei,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16712067,hCoV-19/Guangdong/GCDC-61165/2022,2022-12-07,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16327535,hCoV-19/Shanghai/SJTU-235866/2022,2022-12-09,China,Shanghai,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16712191,hCoV-19/Guangdong/GCDC-61210/2022,2022-12-10,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16327560,hCoV-19/Shanghai/SJTU-236060/2022,2022-12-10,China,Shanghai,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16683725,hCoV-19/Anhui/LCDC-005/2022,2022-12-10,China,Anhui,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16683722,hCoV-19/Anhui/LCDC-002/2022,2022-12-11,China,Anhui,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16761882,hCoV-19/Anhui/MCDC1413-1/2022,2022-12-11,China,Anhui,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16634746,hCoV-19/Shanghai/IVDC-1853/2022,2022-12-12,China,Shanghai,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16635497,hCoV-19/Zhejiang/IVDC-793/2022,2022-12-12,China,Zhejiang,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16617208,hCoV-19/Hubei/HCDC-J122/2022,2022-12-13,China,Hubei,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16604903,hCoV-19/Hainan/CDC-004/2022,2022-12-14,China,Hainan,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16604905,hCoV-19/Hainan/CDC-006/2022,2022-12-14,China,Hainan,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16712029,hCoV-19/Guangdong/GCDC-GZ9959240/2022,2022-12-14,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16635494,hCoV-19/Zhejiang/IVDC-790/2022,2022-12-15,China,Zhejiang,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_17492884,hCoV-19/Sichuan/SCDC-4546/2022,2022-12-17,China,Sichuan,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16598324,hCoV-19/Heilongjiang/HLJCDC-1522/2022,2022-12-17,China,Heilongjiang,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16598323,hCoV-19/Heilongjiang/HLJCDC-1521/2022,2022-12-17,China,Heilongjiang,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16635681,hCoV-19/Zhejiang/IVDC-984/2022,2022-12-19,China,Zhejiang,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16635159,hCoV-19/Liaoning/IVDC-1349/2022,2022-12-19,China,Liaoning,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16711833,hCoV-19/Guangdong/GCDC-00111/2022,2022-12-19,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_17088661,hCoV-19/Guangxi/GCDC-BS-22002/2022,2022-12-19,China,Guangxi,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16520395,hCoV-19/Beijing/CPL-12-210/2022,2022-12-19,China,Beijing,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16520359,hCoV-19/Beijing/CPL-12-169/2022,2022-12-19,China,Beijing,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16520458,hCoV-19/Beijing/CPL-12-399/2022,2022-12-19,China,Beijing,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16853808,hCoV-19/Shanxi/SXCDC-0068/2022,2022-12-20,China,Shanxi,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_17487257,hCoV-19/Hubei/HCDC-WH0230/2022,2022-12-20,China,Hubei,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16698451,hCoV-19/Jiangsu/SZCDC-094/2022,2022-12-20,China,Jiangsu,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16481837,hCoV-19/Tianjin/TJCDC-002/2022,2022-12-21,China,Tianjin,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16608442,hCoV-19/Henan/HNCDCBT-019/2022,2022-12-21,China,Henan,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16608427,hCoV-19/Henan/HNCDCBT-004/2022,2022-12-21,China,Henan,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16604815,hCoV-19/Shandong/SDCDC-0445/2022,2022-12-21,China,Shandong,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16711939,hCoV-19/Guangdong/GCDC-00157/2022,2022-12-21,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16711952,hCoV-19/Guangdong/GCDC-00162/2022,2022-12-21,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16636176,hCoV-19/Guizhou/IVDC-1268/2022,2022-12-21,China,Guizhou,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16698278,hCoV-19/Chongqing/CQCDC-6193/2022,2022-12-22,China,Chongqing,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16598337,hCoV-19/Heilongjiang/HLJCDC-1549/2022,2022-12-22,China,Heilongjiang,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16723221,hCoV-19/Henan/LCDC-004/2022,2022-12-22,China,Henan,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16711887,hCoV-19/Guangdong/GCDC-00374/2022,2022-12-22,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16610099,hCoV-19/Henan/CDC-001/2022,2022-12-22,China,Henan,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16604941,hCoV-19/Hainan/CDC-016/2022,2022-12-22,China,Hainan,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16604942,hCoV-19/Hainan/CDC-017/2022,2022-12-22,China,Hainan,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16604943,hCoV-19/Hainan/CDC-018/2022,2022-12-22,China,Hainan,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16604944,hCoV-19/Hainan/CDC-019/2022,2022-12-22,China,Hainan,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16616966,hCoV-19/Hubei/HCDC-JZ272/2022,2022-12-23,China,Hubei,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16468076,hCoV-19/Beijing/CPL-12-141/2022,2022-12-23,China,Beijing,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16709477,hCoV-19/Shaanxi/SXCDC-X015/2022,2022-12-23,China,Shaanxi,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16636027,hCoV-19/Xinjiang/IVDC-1050/2022,2022-12-24,China,Xinjiang,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_17487320,hCoV-19/Hubei/HCDC-0312/2022,2022-12-25,China,Hubei,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16636034,hCoV-19/Xinjiang/IVDC-1060/2022,2022-12-25,China,Xinjiang,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_16636032,hCoV-19/Xinjiang/IVDC-1058/2022,2022-12-25,China,Xinjiang,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16968103,hCoV-19/Anhui/HNCDC-27/2022,2022-12-25,China,Anhui,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16635134,hCoV-19/Liaoning/IVDC-1324/2022,2022-12-25,China,Liaoning,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16481843,hCoV-19/Tianjin/TJCDC-008/2022,2022-12-26,China,Tianjin,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_17487154,hCoV-19/Hubei/HCDC-0335/2022,2022-12-26,China,Hubei,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16712095,hCoV-19/Guangdong/GCDC-00115/2022,2022-12-26,China,Guangdong,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_17490672,hCoV-19/Zhejiang/ZJCDC-166/2022,2022-12-26,China,Zhejiang,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16635144,hCoV-19/Liaoning/IVDC-1334/2022,2022-12-26,China,Liaoning,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
EPI_ISL_17088823,hCoV-19/Guangxi/GCDC-CZ-122802/2022,2022-12-26,China,Guangxi,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_16604732,hCoV-19/Shandong/SDCDC-0349/2022,2022-12-27,China,Shandong,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16711844,hCoV-19/Guangdong/GCDC-00537/2022,2022-12-27,China,Guangdong,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16617328,hCoV-19/Hubei/HCDC-XY379/2022,2022-12-27,China,Hubei,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16617077,hCoV-19/Hubei/HCDC-WH357/2022,2022-12-27,China,Hubei,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16617075,hCoV-19/Hubei/HCDC-WH355/2022,2022-12-27,China,Hubei,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16709074,hCoV-19/Henan/XYCDC-9/2022,2022-12-27,China,Henan,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16709076,hCoV-19/Henan/XYCDC-11/2022,2022-12-27,China,Henan,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_17088788,hCoV-19/Guangxi/GCDC-LZ-122703/2022,2022-12-27,China,Guangxi,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_17088792,hCoV-19/Guangxi/GCDC-LZ-122702/2022,2022-12-27,China,Guangxi,DY.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.3,22B (BA.5),DY
EPI_ISL_17088793,hCoV-19/Guangxi/GCDC-LZ-122701/2022,2022-12-27,China,Guangxi,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16968096,hCoV-19/Anhui/HNCDC-21/2022,2022-12-27,China,Anhui,DY.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.4,22B (BA.5),DY
EPI_ISL_16709077,hCoV-19/Henan/XYCDC-12/2022,2022-12-27,China,Henan,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16595784,hCoV-19/Anhui/HNCDC-20/2022,2022-12-27,China,Anhui,DY.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.2,22B (BA.5),DY
EPI_ISL_16636150,hCoV-19/Xinjiang/IVDC-1199/2022,2022-12-28,China,Xinjiang,DY.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.48.1,22B (BA.5),DY
