ancestor,descend,lineage
EPI_ISL_16520450,EPI_ISL_16520461,BF.7
EPI_ISL_16468048,EPI_ISL_16520444,BF.7
EPI_ISL_16468048,EPI_ISL_16468080,BF.7
EPI_ISL_17487817,EPI_ISL_16616874,DY
EPI_ISL_17487818,EPI_ISL_16616872,BA.5
EPI_ISL_16468044,EPI_ISL_16520378,BF.7
EPI_ISL_16468046,EPI_ISL_16520463,BF.7
EPI_ISL_16750682,EPI_ISL_16610898,DY
EPI_ISL_16634776,EPI_ISL_16634848,DY
EPI_ISL_16468050,EPI_ISL_16520372,BF.7
EPI_ISL_13005064,EPI_ISL_13005109,Others
EPI_ISL_13005064,EPI_ISL_13005147,Others
EPI_ISL_16468051,EPI_ISL_16520374,BF.7
EPI_ISL_16468051,EPI_ISL_16520453,BF.7
EPI_ISL_17170714,EPI_ISL_17170715,DY
EPI_ISL_17170714,EPI_ISL_17489849,DY
EPI_ISL_17170714,EPI_ISL_17489851,DY
EPI_ISL_16436284,EPI_ISL_17492893,BA.5
EPI_ISL_16436281,EPI_ISL_17492896,DY
EPI_ISL_16436281,EPI_ISL_16937119,DY
EPI_ISL_16436281,EPI_ISL_16899455,DY
EPI_ISL_16436281,EPI_ISL_17493121,DY
EPI_ISL_17032010,EPI_ISL_17487579,BA.5
EPI_ISL_17032010,EPI_ISL_17032016,BA.5
EPI_ISL_17032010,EPI_ISL_17487573,BA.5
EPI_ISL_17032010,EPI_ISL_16911096,BA.5
EPI_ISL_17032010,EPI_ISL_17487600,BA.5
EPI_ISL_17032010,EPI_ISL_16911098,BA.5
EPI_ISL_17032010,EPI_ISL_17487598,BA.5
EPI_ISL_17032010,EPI_ISL_16911093,BA.5
EPI_ISL_17032010,EPI_ISL_17487603,BA.5
EPI_ISL_17032010,EPI_ISL_17032019,BA.5
EPI_ISL_17032010,EPI_ISL_17487570,BA.5
EPI_ISL_17032010,EPI_ISL_16911088,BA.5
EPI_ISL_17032010,EPI_ISL_17487608,BA.5
EPI_ISL_17487572,EPI_ISL_17032017,BA.5
EPI_ISL_16635552,EPI_ISL_16604481,BF.7
EPI_ISL_16635552,EPI_ISL_16849117,BF.7
EPI_ISL_16635552,EPI_ISL_16758307,BF.7
EPI_ISL_16635552,EPI_ISL_16758083,BF.7
EPI_ISL_16635552,EPI_ISL_16758306,BF.7
EPI_ISL_16635552,EPI_ISL_16758309,BF.7
EPI_ISL_16635552,EPI_ISL_16604694,BF.7
EPI_ISL_16635552,EPI_ISL_16604681,BF.7
EPI_ISL_16635552,EPI_ISL_16604682,BF.7
EPI_ISL_16635552,EPI_ISL_16758310,BF.7
EPI_ISL_16635552,EPI_ISL_16849112,BF.7
EPI_ISL_16635552,EPI_ISL_16849076,BF.7
EPI_ISL_16635552,EPI_ISL_16849160,BF.7
EPI_ISL_17086603,EPI_ISL_17086577,BF.7
EPI_ISL_17086603,EPI_ISL_17086578,BF.7
EPI_ISL_16436282,EPI_ISL_17492895,BF.7
EPI_ISL_17487581,EPI_ISL_17032008,BA.5
EPI_ISL_13005074,EPI_ISL_13005092,Others
EPI_ISL_13005074,EPI_ISL_13005129,Others
EPI_ISL_13005074,EPI_ISL_13005133,Others
EPI_ISL_13005074,EPI_ISL_13005130,Others
EPI_ISL_17487580,EPI_ISL_17032009,BA.5
EPI_ISL_16604438,EPI_ISL_18070640,BF.7
EPI_ISL_16604439,EPI_ISL_18070641,BA.5
EPI_ISL_16604440,EPI_ISL_18070642,BF.7
EPI_ISL_17487578,EPI_ISL_17032011,BA.5
EPI_ISL_17487577,EPI_ISL_17032012,BA.5
EPI_ISL_17487809,EPI_ISL_16616875,DY
EPI_ISL_17487576,EPI_ISL_17032013,BA.5
EPI_ISL_16436285,EPI_ISL_17492892,BA.5
EPI_ISL_16617070,EPI_ISL_17487264,DY
EPI_ISL_13005094,EPI_ISL_13005136,Others
EPI_ISL_16617069,EPI_ISL_17487265,DY
EPI_ISL_16617071,EPI_ISL_17487263,DY
EPI_ISL_16617072,EPI_ISL_17487262,DY
EPI_ISL_16617296,EPI_ISL_17487260,DY
EPI_ISL_17487347,EPI_ISL_16617050,DY
EPI_ISL_17487348,EPI_ISL_16617049,DY
EPI_ISL_17487349,EPI_ISL_16617048,DY
EPI_ISL_16617106,EPI_ISL_17487156,DY
EPI_ISL_16617104,EPI_ISL_17487158,DY
EPI_ISL_16617104,EPI_ISL_17488144,DY
EPI_ISL_16481864,EPI_ISL_16740834,BF.7
EPI_ISL_13005119,EPI_ISL_13005140,Others
EPI_ISL_16617298,EPI_ISL_17487258,DY
EPI_ISL_16617295,EPI_ISL_17487261,DY
EPI_ISL_16616956,EPI_ISL_17487534,DY
EPI_ISL_16350935,EPI_ISL_16709215,BF.7
EPI_ISL_17487814,EPI_ISL_16616808,BF.7
EPI_ISL_16616955,EPI_ISL_17487535,DY
EPI_ISL_16604423,EPI_ISL_16604414,BA.5
EPI_ISL_16711702,EPI_ISL_17493390,DY
EPI_ISL_17488694,EPI_ISL_16334610,BA.5
EPI_ISL_16436268,EPI_ISL_16436267,BA.5
EPI_ISL_16436268,EPI_ISL_17493152,BA.5
EPI_ISL_16436268,EPI_ISL_17493153,BA.5
EPI_ISL_13025771,EPI_ISL_13025772,Others
EPI_ISL_13025771,EPI_ISL_13025773,Others
EPI_ISL_17487531,EPI_ISL_16616959,DY
EPI_ISL_17086563,EPI_ISL_17086573,BF.7
EPI_ISL_17086563,EPI_ISL_17086590,BF.7
EPI_ISL_17086563,EPI_ISL_17086614,BF.7
EPI_ISL_16634809,EPI_ISL_16634817,BA.5
EPI_ISL_16635357,EPI_ISL_16337142,BA.5
EPI_ISL_16635357,EPI_ISL_17488503,BA.5
EPI_ISL_16635357,EPI_ISL_16838989,BA.5
EPI_ISL_16635355,EPI_ISL_16337107,BF.7
EPI_ISL_17493154,EPI_ISL_16436266,BA.5
EPI_ISL_16635350,EPI_ISL_16337105,BF.7
EPI_ISL_17487132,EPI_ISL_16617127,BA.5
EPI_ISL_17488689,EPI_ISL_16334630,BF.7
EPI_ISL_17488690,EPI_ISL_16334629,BF.7
EPI_ISL_1969692,EPI_ISL_1969691,Others
EPI_ISL_17488691,EPI_ISL_16334628,BA.5
EPI_ISL_17487131,EPI_ISL_16617128,DY
EPI_ISL_17487129,EPI_ISL_16617130,DY
EPI_ISL_17487128,EPI_ISL_16617131,DY
EPI_ISL_17488693,EPI_ISL_16334625,BA.5
EPI_ISL_17488684,EPI_ISL_16334612,DY
EPI_ISL_17487532,EPI_ISL_16616958,DY
EPI_ISL_17487532,EPI_ISL_16616992,DY
EPI_ISL_17487532,EPI_ISL_17487495,DY
EPI_ISL_17487532,EPI_ISL_16617006,DY
EPI_ISL_17487532,EPI_ISL_17487482,DY
EPI_ISL_17487133,EPI_ISL_16617126,DY
EPI_ISL_16608445,EPI_ISL_17062126,BA.5
EPI_ISL_16608437,EPI_ISL_16611187,DY
EPI_ISL_16608437,EPI_ISL_17063010,DY
EPI_ISL_1911197,EPI_ISL_1911195,Delta
EPI_ISL_16608435,EPI_ISL_16709236,BA.5
EPI_ISL_16608435,EPI_ISL_16709235,BA.5
EPI_ISL_16608435,EPI_ISL_16608458,BA.5
EPI_ISL_16636044,EPI_ISL_16597000,DY
EPI_ISL_16636044,EPI_ISL_17493060,DY
EPI_ISL_16636044,EPI_ISL_16970280,DY
EPI_ISL_16636043,EPI_ISL_16635951,BA.5
EPI_ISL_16636043,EPI_ISL_16635945,BA.5
EPI_ISL_16611197,EPI_ISL_16610884,DY
EPI_ISL_16611204,EPI_ISL_16611227,DY
EPI_ISL_16608429,EPI_ISL_16709237,BA.5
EPI_ISL_16608429,EPI_ISL_16608463,BA.5
EPI_ISL_16608429,EPI_ISL_16608464,BA.5
EPI_ISL_16608428,EPI_ISL_17253609,BA.5
EPI_ISL_16608428,EPI_ISL_17281117,BA.5
EPI_ISL_16604818,EPI_ISL_17062984,BF.7
EPI_ISL_16604815,EPI_ISL_17199868,DY
EPI_ISL_17487194,EPI_ISL_16617321,DY
EPI_ISL_3127444,EPI_ISL_3127445,Delta
EPI_ISL_16713262,EPI_ISL_16713258,BA.5
EPI_ISL_16713262,EPI_ISL_16713434,BA.5
EPI_ISL_16713262,EPI_ISL_16713389,BA.5
EPI_ISL_16713262,EPI_ISL_16713387,BA.5
EPI_ISL_16713262,EPI_ISL_16713404,BA.5
EPI_ISL_16713262,EPI_ISL_16713392,BA.5
EPI_ISL_16713262,EPI_ISL_16713425,BA.5
EPI_ISL_16713262,EPI_ISL_16713246,BA.5
EPI_ISL_16713262,EPI_ISL_16713247,BA.5
EPI_ISL_16713262,EPI_ISL_16713251,BA.5
EPI_ISL_16713262,EPI_ISL_16911546,BA.5
EPI_ISL_16713262,EPI_ISL_17736118,BA.5
EPI_ISL_16713262,EPI_ISL_16713423,BA.5
EPI_ISL_16713262,EPI_ISL_16713394,BA.5
EPI_ISL_16713262,EPI_ISL_16723119,BA.5
EPI_ISL_16713262,EPI_ISL_16830011,BA.5
EPI_ISL_16713262,EPI_ISL_17075235,BA.5
EPI_ISL_16713262,EPI_ISL_17092324,BA.5
EPI_ISL_16713262,EPI_ISL_17188272,BA.5
EPI_ISL_16713262,EPI_ISL_17487004,BA.5
EPI_ISL_17487199,EPI_ISL_16617316,BA.5
EPI_ISL_16711713,EPI_ISL_16711658,DY
EPI_ISL_16711713,EPI_ISL_16573337,DY
EPI_ISL_16711713,EPI_ISL_17489582,DY
EPI_ISL_16711713,EPI_ISL_16610759,DY
EPI_ISL_16711713,EPI_ISL_17489808,DY
EPI_ISL_16711713,EPI_ISL_17171006,DY
EPI_ISL_16711713,EPI_ISL_17170954,DY
EPI_ISL_16711646,EPI_ISL_16573334,DY
EPI_ISL_16702133,EPI_ISL_17494769,BF.7
EPI_ISL_16604485,EPI_ISL_16758292,BA.5
EPI_ISL_16520429,EPI_ISL_16468074,BF.7
EPI_ISL_17487124,EPI_ISL_16617135,DY
EPI_ISL_16334614,EPI_ISL_17488705,DY
EPI_ISL_16698301,EPI_ISL_17492974,BA.5
EPI_ISL_428454,EPI_ISL_962543,Others
EPI_ISL_428454,EPI_ISL_428464,Others
EPI_ISL_428454,EPI_ISL_451381,Others
EPI_ISL_428454,EPI_ISL_428442,Others
EPI_ISL_428454,EPI_ISL_1068593,Others
EPI_ISL_428454,EPI_ISL_962559,Others
EPI_ISL_428454,EPI_ISL_962564,Others
EPI_ISL_428454,EPI_ISL_1081194,Others
EPI_ISL_428454,EPI_ISL_16138315,Others
EPI_ISL_428454,EPI_ISL_1081199,Others
EPI_ISL_428454,EPI_ISL_454992,Others
EPI_ISL_428454,EPI_ISL_454993,Others
EPI_ISL_428454,EPI_ISL_454968,Others
EPI_ISL_428454,EPI_ISL_454985,Others
EPI_ISL_428454,EPI_ISL_454982,Others
EPI_ISL_428454,EPI_ISL_454977,Others
EPI_ISL_428454,EPI_ISL_454971,Others
EPI_ISL_428454,EPI_ISL_454967,Others
EPI_ISL_16138079,EPI_ISL_17167853,Others
EPI_ISL_16138079,EPI_ISL_16138078,Others
EPI_ISL_16138079,EPI_ISL_16138073,Others
EPI_ISL_16138079,EPI_ISL_16138072,Others
EPI_ISL_16138079,EPI_ISL_2131805,Others
EPI_ISL_16138079,EPI_ISL_2131843,Others
EPI_ISL_16138079,EPI_ISL_2132221,Others
EPI_ISL_16138079,EPI_ISL_2132223,Others
EPI_ISL_16138079,EPI_ISL_2131838,Others
EPI_ISL_16138079,EPI_ISL_16138071,Others
EPI_ISL_16138079,EPI_ISL_16138070,Others
EPI_ISL_16138079,EPI_ISL_16138069,Others
EPI_ISL_16138079,EPI_ISL_17167854,Others
EPI_ISL_16334616,EPI_ISL_17488703,BF.7
EPI_ISL_17490684,EPI_ISL_17488230,DY
EPI_ISL_17487190,EPI_ISL_16617325,DY
EPI_ISL_17487192,EPI_ISL_16617323,DY
EPI_ISL_17487193,EPI_ISL_16617322,DY
EPI_ISL_16598336,EPI_ISL_16598401,DY
EPI_ISL_16598336,EPI_ISL_16635837,DY
EPI_ISL_16598336,EPI_ISL_16910840,DY
EPI_ISL_16598336,EPI_ISL_16910841,DY
EPI_ISL_16598336,EPI_ISL_16910830,DY
EPI_ISL_16598336,EPI_ISL_16910829,DY
EPI_ISL_16598336,EPI_ISL_17031951,DY
EPI_ISL_16598336,EPI_ISL_17199788,DY
EPI_ISL_16598336,EPI_ISL_17485731,DY
EPI_ISL_16598332,EPI_ISL_16598383,DY
EPI_ISL_16598332,EPI_ISL_16955437,DY
EPI_ISL_16598330,EPI_ISL_17493863,DY
EPI_ISL_16598329,EPI_ISL_16598341,BA.5
EPI_ISL_16598329,EPI_ISL_16910860,BA.5
EPI_ISL_16617132,EPI_ISL_17487127,DY
EPI_ISL_9301315,EPI_ISL_9301317,Others
EPI_ISL_9301315,EPI_ISL_9301318,Others
EPI_ISL_9301315,EPI_ISL_9301321,Others
EPI_ISL_16617133,EPI_ISL_17487126,DY
EPI_ISL_17487652,EPI_ISL_16616924,DY
EPI_ISL_17487652,EPI_ISL_17487650,DY
EPI_ISL_17487652,EPI_ISL_16616926,DY
EPI_ISL_17487652,EPI_ISL_17487648,DY
EPI_ISL_17487652,EPI_ISL_16616938,DY
EPI_ISL_16348507,EPI_ISL_16520451,BF.7
EPI_ISL_17488685,EPI_ISL_16334633,BA.5
EPI_ISL_16348510,EPI_ISL_16348511,BF.7
EPI_ISL_17488686,EPI_ISL_16334632,BA.5
EPI_ISL_17488687,EPI_ISL_16334631,BA.5
EPI_ISL_17488695,EPI_ISL_16334624,DY
EPI_ISL_17488696,EPI_ISL_16334623,DY
EPI_ISL_17488697,EPI_ISL_16334622,DY
EPI_ISL_17488697,EPI_ISL_17490668,DY
EPI_ISL_17488697,EPI_ISL_16646066,DY
EPI_ISL_17488697,EPI_ISL_16646061,DY
EPI_ISL_17488697,EPI_ISL_16646059,DY
EPI_ISL_17488697,EPI_ISL_17489617,DY
EPI_ISL_17488697,EPI_ISL_16610869,DY
EPI_ISL_16138075,EPI_ISL_2132030,Others
EPI_ISL_17488699,EPI_ISL_16334620,BA.5
EPI_ISL_17488700,EPI_ISL_16334619,BA.5
EPI_ISL_17488701,EPI_ISL_16334618,BF.7
EPI_ISL_16468086,EPI_ISL_16468088,BF.7
EPI_ISL_16468086,EPI_ISL_16468077,BF.7
EPI_ISL_16468086,EPI_ISL_16468069,BF.7
EPI_ISL_16616925,EPI_ISL_17487651,DY
EPI_ISL_16616920,EPI_ISL_17487656,DY
EPI_ISL_16616870,EPI_ISL_17487807,DY
EPI_ISL_16616870,EPI_ISL_16616895,DY
EPI_ISL_16616870,EPI_ISL_17487770,DY
EPI_ISL_16610100,EPI_ISL_17063001,BA.5
EPI_ISL_16634892,EPI_ISL_16635974,DY
EPI_ISL_16604944,EPI_ISL_16598364,DY
EPI_ISL_16604944,EPI_ISL_16598406,DY
EPI_ISL_16604944,EPI_ISL_17199771,DY
EPI_ISL_16604944,EPI_ISL_17199790,DY
EPI_ISL_16604944,EPI_ISL_17199870,DY
EPI_ISL_16604944,EPI_ISL_17262894,DY
EPI_ISL_2965601,EPI_ISL_2965602,Delta
EPI_ISL_16636080,EPI_ISL_16636147,DY
EPI_ISL_16634898,EPI_ISL_16634897,DY
EPI_ISL_16636041,EPI_ISL_16636127,BA.5
EPI_ISL_16636041,EPI_ISL_16635947,BA.5
EPI_ISL_16636041,EPI_ISL_16635949,BA.5
EPI_ISL_16636041,EPI_ISL_17501624,BA.5
EPI_ISL_16636041,EPI_ISL_17495553,BA.5
EPI_ISL_16636041,EPI_ISL_17494711,BA.5
EPI_ISL_16636041,EPI_ISL_17494712,BA.5
EPI_ISL_16636041,EPI_ISL_17495547,BA.5
EPI_ISL_16636041,EPI_ISL_17495548,BA.5
EPI_ISL_16636039,EPI_ISL_16636040,BA.5
EPI_ISL_16636039,EPI_ISL_16635952,BA.5
EPI_ISL_16598607,EPI_ISL_16283874,BA.5
EPI_ISL_16598607,EPI_ISL_17492872,BA.5
EPI_ISL_16604513,EPI_ISL_16757963,DY
EPI_ISL_16604513,EPI_ISL_16757964,DY
EPI_ISL_16604513,EPI_ISL_16604525,DY
EPI_ISL_16604513,EPI_ISL_16604689,DY
EPI_ISL_16604513,EPI_ISL_16604641,DY
EPI_ISL_16604513,EPI_ISL_16604653,DY
EPI_ISL_16604513,EPI_ISL_16604870,DY
EPI_ISL_17371222,EPI_ISL_17371256,BF.7
EPI_ISL_16616969,EPI_ISL_17487521,DY
EPI_ISL_17487525,EPI_ISL_16616965,DY
