source,target,weight,s_country,t_prov,s_date,t_date
EPI_ISL_16103555,EPI_ISL_16327654,0,USA,Shanghai,2022-12-03,2022-12-16
EPI_ISL_18067299,EPI_ISL_17545645,0,Japan,Sichuan,2023-07-13,2022-12-17
EPI_ISL_16324008,EPI_ISL_16327609,1,Canada,Shanghai,2022-12-18,2022-12-18
EPI_ISL_15401626,EPI_ISL_16327684,1,Bangladesh,Shanghai,2022-09-28,2022-12-21
EPI_ISL_16433816,EPI_ISL_16481872,5,New Zealand,Tianjin,2022-12-07,2022-12-21
EPI_ISL_16092997,EPI_ISL_16327605,6,Singapore,Shanghai,2022-12-05,2022-12-22
EPI_ISL_15503010,EPI_ISL_17493020,1,Bangladesh,Shaanxi,2022-10-01,2022-12-22
EPI_ISL_16894696,EPI_ISL_17493023,0,Russia,Shaanxi,2022-12-22,2022-12-25
EPI_ISL_15259733,EPI_ISL_17493016,2,Austria,Shaanxi,2022-09-26,2022-12-28
EPI_ISL_15852335,EPI_ISL_16750697,1,Malaysia,Yunnan,2022-11-14,2022-12-31
EPI_ISL_15384236,EPI_ISL_16750696,3,Singapore,Yunnan,2022-10-11,2022-12-31
EPI_ISL_16207903,EPI_ISL_16481873,1,Guatemala,Tianjin,2022-11-16,2023-01-03
EPI_ISL_15852335,EPI_ISL_16750709,1,Malaysia,Yunnan,2022-11-14,2023-01-07
EPI_ISL_17281308,EPI_ISL_17488111,0,United Kingdom,Zhejiang,2023-03-15,2023-02-05
EPI_ISL_17089083,EPI_ISL_17170852,0,USA,Guangdong,2023-02-17,2023-02-06
EPI_ISL_17105874,EPI_ISL_17199698,6,Russia,Heilongjiang,2023-01-11,2023-02-11
EPI_ISL_16207639,EPI_ISL_17488109,0,USA,Zhejiang,2022-11-17,2023-02-13
EPI_ISL_17196331,EPI_ISL_17072130,2,Canada,Jiangsu,2023-03-06,2023-02-17
EPI_ISL_17591037,EPI_ISL_17162775,1,Malaysia,Beijing,2023-01-27,2023-02-18
EPI_ISL_17028087,EPI_ISL_17584403,2,Australia,Guangdong,2023-02-15,2023-02-19
EPI_ISL_17324719,EPI_ISL_17492934,2,Indonesia,Sichuan,2023-02-03,2023-02-19
EPI_ISL_16278191,EPI_ISL_17072126,1,United Kingdom,Jiangsu,2022-12-11,2023-02-20
EPI_ISL_16253804,EPI_ISL_17488155,1,USA,Zhejiang,2022-11-25,2023-02-21
EPI_ISL_16614907,EPI_ISL_17170982,1,United Kingdom,Guangdong,2022-12-26,2023-02-21
EPI_ISL_17884337,EPI_ISL_17039588,1,Malaysia,Anhui,2023-05-31,2023-02-21
EPI_ISL_17274560,EPI_ISL_17092331,3,Oman,Qinghai,2023-02-21,2023-02-23
EPI_ISL_16027116,EPI_ISL_18330792,3,Indonesia,Guangxi,2022-11-04,2023-02-25
EPI_ISL_17638839,EPI_ISL_17620482,2,France,Beijing,2023-04-17,2023-02-26
EPI_ISL_16710308,EPI_ISL_17185998,1,USA,Hainan,2023-01-16,2023-02-28
EPI_ISL_17195875,EPI_ISL_17261778,0,Canada,Guangdong,2023-02-27,2023-02-28
EPI_ISL_17204265,EPI_ISL_17182652,0,Pakistan,Hubei,2023-02-16,2023-02-28
EPI_ISL_18050610,EPI_ISL_17488851,1,Iran,Tianjin,2023-02-18,2023-02-28
EPI_ISL_16751684,EPI_ISL_17620438,3,Belgium,Beijing,2023-01-05,2023-03-01
EPI_ISL_17512297,EPI_ISL_17261716,1,Norway,Guangdong,2023-01-31,2023-03-02
EPI_ISL_17192711,EPI_ISL_17487041,1,Canada,Hubei,2023-03-02,2023-03-02
EPI_ISL_16534019,EPI_ISL_17488840,6,Singapore,Tianjin,2023-01-09,2023-03-02
EPI_ISL_17265642,EPI_ISL_17584532,0,Canada,Guangdong,2023-03-08,2023-03-02
EPI_ISL_17419333,EPI_ISL_17584533,0,Romania,Guangdong,2023-03-21,2023-03-02
EPI_ISL_18238367,EPI_ISL_17488036,3,Russia,Zhejiang,2023-05-23,2023-03-02
EPI_ISL_15965974,EPI_ISL_17199828,2,Indonesia,Heilongjiang,2022-10-27,2023-03-02
EPI_ISL_17280574,EPI_ISL_17511946,3,Australia,Shanghai,2023-03-15,2023-03-03
EPI_ISL_16093023,EPI_ISL_17494754,1,Singapore,Tianjin,2022-12-05,2023-03-03
EPI_ISL_15828127,EPI_ISL_17487956,2,USA,Zhejiang,2022-11-13,2023-03-03
EPI_ISL_16268023,EPI_ISL_17199806,2,USA,Heilongjiang,2022-12-09,2023-03-03
EPI_ISL_16612770,EPI_ISL_17488838,4,Trinidad and Tobago,Tianjin,2023-01-06,2023-03-04
EPI_ISL_17194527,EPI_ISL_17620463,1,Sweden,Beijing,2023-03-04,2023-03-05
EPI_ISL_16612405,EPI_ISL_17487448,5,USA,Hubei,2023-01-07,2023-03-05
EPI_ISL_17556302,EPI_ISL_17199841,2,Japan,Heilongjiang,2023-04-03,2023-03-07
EPI_ISL_17524810,EPI_ISL_18330902,1,France,Guangxi,2023-04-11,2023-03-07
EPI_ISL_17806551,EPI_ISL_17261805,2,USA,Guangdong,2023-01-24,2023-03-07
EPI_ISL_16721876,EPI_ISL_17261789,3,United Kingdom,Guangdong,2023-01-08,2023-03-07
EPI_ISL_17989990,EPI_ISL_17487975,0,Spain,Zhejiang,2023-04-26,2023-03-08
EPI_ISL_15912999,EPI_ISL_17199903,4,Bangladesh,Heilongjiang,2022-09-20,2023-03-09
EPI_ISL_16390915,EPI_ISL_17487917,2,United Kingdom,Zhejiang,2022-12-09,2023-03-09
EPI_ISL_17346792,EPI_ISL_17487973,0,Singapore,Zhejiang,2023-03-17,2023-03-10
EPI_ISL_17833226,EPI_ISL_17487974,2,Hungary,Zhejiang,2023-03-17,2023-03-10
EPI_ISL_16475530,EPI_ISL_17280132,1,Austria,Qinghai,2023-01-02,2023-03-10
EPI_ISL_16353094,EPI_ISL_17785570,7,India,Neimenggu,2022-12-28,2023-03-11
EPI_ISL_16996060,EPI_ISL_17487972,1,Israel,Zhejiang,2023-02-09,2023-03-11
EPI_ISL_17295160,EPI_ISL_17490455,0,Japan,Hebei,2023-03-07,2023-03-11
EPI_ISL_17305136,EPI_ISL_17489293,1,USA,Sichuan,2023-03-04,2023-03-11
EPI_ISL_16945315,EPI_ISL_17262851,3,USA,Jiangsu,2023-02-05,2023-03-11
EPI_ISL_17346056,EPI_ISL_17309115,2,France,Sichuan,2023-03-13,2023-03-11
EPI_ISL_17592612,EPI_ISL_17492952,1,Italy,Heilongjiang,2023-04-17,2023-03-13
EPI_ISL_17005063,EPI_ISL_17785558,3,Germany,Neimenggu,2023-02-09,2023-03-13
EPI_ISL_17207278,EPI_ISL_17494538,4,Singapore,Gansu,2023-03-03,2023-03-14
EPI_ISL_17388135,EPI_ISL_17487887,0,Japan,Zhejiang,2023-03-09,2023-03-15
EPI_ISL_17669111,EPI_ISL_17494031,0,USA,Jiangsu,2023-05-06,2023-03-15
EPI_ISL_15503020,EPI_ISL_17785562,2,Bangladesh,Neimenggu,2022-10-06,2023-03-16
EPI_ISL_17192019,EPI_ISL_17495179,3,Canada,Tianjin,2023-02-22,2023-03-16
EPI_ISL_17977446,EPI_ISL_17775392,6,Panama,Xinjiang,2023-03-27,2023-03-16
EPI_ISL_17003316,EPI_ISL_17495171,2,Germany,Tianjin,2023-02-06,2023-03-17
EPI_ISL_17259411,EPI_ISL_17584476,1,USA,Guangdong,2023-03-06,2023-03-17
EPI_ISL_18069280,EPI_ISL_17592210,0,USA,Beijing,2023-03-01,2023-03-17
EPI_ISL_16811730,EPI_ISL_17493015,1,Germany,Shaanxi,2023-01-19,2023-03-17
EPI_ISL_17207268,EPI_ISL_17487854,0,Singapore,Zhejiang,2023-03-06,2023-03-17
EPI_ISL_16958770,EPI_ISL_17584667,2,USA,Guangdong,2023-01-29,2023-03-17
EPI_ISL_17207268,EPI_ISL_17487856,1,Singapore,Zhejiang,2023-03-06,2023-03-17
EPI_ISL_17930706,EPI_ISL_17495356,1,South Korea,Liaoning,2023-06-10,2023-03-17
EPI_ISL_17535554,EPI_ISL_18330844,1,Sweden,Guangxi,2023-04-13,2023-03-18
EPI_ISL_17425706,EPI_ISL_17536947,2,Indonesia,Henan,2023-01-05,2023-03-18
EPI_ISL_16958770,EPI_ISL_17488784,6,USA,Tianjin,2023-01-29,2023-03-19
EPI_ISL_17567169,EPI_ISL_17493851,4,Russia,Heilongjiang,2023-03-08,2023-03-20
EPI_ISL_17585216,EPI_ISL_17494634,2,Indonesia,Tianjin,2023-03-09,2023-03-20
EPI_ISL_17630015,EPI_ISL_17493684,0,Japan,Anhui,2023-04-10,2023-03-20
EPI_ISL_16173046,EPI_ISL_17511963,2,USA,Shanghai,2022-12-10,2023-03-21
EPI_ISL_17289913,EPI_ISL_17494348,5,USA,Xinjiang,2023-02-13,2023-03-21
EPI_ISL_17710455,EPI_ISL_17501741,8,Sweden,Hubei,2023-05-04,2023-03-21
EPI_ISL_17496113,EPI_ISL_17511921,1,Singapore,Shanghai,2023-04-03,2023-03-21
EPI_ISL_17349799,EPI_ISL_17307405,1,Ireland,Jiangsu,2023-03-19,2023-03-22
EPI_ISL_16173046,EPI_ISL_17489316,3,USA,Sichuan,2022-12-10,2023-03-22
EPI_ISL_16198865,EPI_ISL_17489323,1,Indonesia,Sichuan,2022-11-30,2023-03-22
EPI_ISL_17719681,EPI_ISL_18330906,0,Vietnam,Guangxi,2023-03-24,2023-03-22
EPI_ISL_17098608,EPI_ISL_17592233,1,United Kingdom,Beijing,2023-02-20,2023-03-22
EPI_ISL_15341057,EPI_ISL_17493168,2,Singapore,Shanghai,2022-09-29,2023-03-22
EPI_ISL_18228504,EPI_ISL_17493829,2,South Africa,Heilongjiang,2023-08-21,2023-03-22
EPI_ISL_16475530,EPI_ISL_17494034,0,Austria,Jiangsu,2023-01-02,2023-03-22
EPI_ISL_17558655,EPI_ISL_17490382,1,Japan,Hebei,2023-04-07,2023-03-22
EPI_ISL_17519870,EPI_ISL_17494497,2,Germany,Heilongjiang,2023-04-12,2023-03-23
EPI_ISL_16829345,EPI_ISL_17493589,3,United Kingdom,Zhejiang,2023-01-16,2023-03-23
EPI_ISL_17538761,EPI_ISL_17587053,1,South Korea,Yunnan,2023-03-29,2023-03-23
EPI_ISL_17429929,EPI_ISL_17489399,2,USA,Shanghai,2023-03-25,2023-03-23
EPI_ISL_16811730,EPI_ISL_17587055,0,Germany,Yunnan,2023-01-19,2023-03-23
EPI_ISL_17176520,EPI_ISL_17775349,2,Germany,Xinjiang,2023-02-17,2023-03-23
EPI_ISL_17524619,EPI_ISL_17592202,0,France,Beijing,2023-04-03,2023-03-23
EPI_ISL_17293136,EPI_ISL_17493720,4,India,Zhejiang,2023-03-09,2023-03-23
EPI_ISL_17743017,EPI_ISL_17563563,2,USA,Xinjiang,2023-05-22,2023-03-23
EPI_ISL_18039662,EPI_ISL_17592176,4,USA,Beijing,2023-04-10,2023-03-24
EPI_ISL_17248158,EPI_ISL_17511964,4,Belgium,Shanghai,2023-02-28,2023-03-24
EPI_ISL_18134711,EPI_ISL_17592171,2,Sweden,Beijing,2023-04-11,2023-03-24
EPI_ISL_17247154,EPI_ISL_17592172,1,USA,Beijing,2023-03-09,2023-03-24
EPI_ISL_16490751,EPI_ISL_17584731,0,USA,Guangdong,2022-12-09,2023-03-24
EPI_ISL_17274647,EPI_ISL_17493706,2,Sweden,Zhejiang,2023-03-05,2023-03-24
EPI_ISL_17081283,EPI_ISL_17493719,2,Bahrain,Zhejiang,2023-02-08,2023-03-24
EPI_ISL_17273147,EPI_ISL_17493718,2,Belgium,Zhejiang,2023-02-27,2023-03-24
EPI_ISL_17317839,EPI_ISL_17684313,1,Russia,Jiangsu,2023-02-21,2023-03-24
EPI_ISL_17080245,EPI_ISL_17494035,8,France,Jiangsu,2023-02-13,2023-03-24
EPI_ISL_17202956,EPI_ISL_17493705,1,France,Zhejiang,2023-02-27,2023-03-24
EPI_ISL_17246035,EPI_ISL_17493703,1,United Kingdom,Zhejiang,2023-03-04,2023-03-24
EPI_ISL_16528802,EPI_ISL_17514258,2,Bangladesh,Xinjiang,2023-01-07,2023-03-24
EPI_ISL_16449251,EPI_ISL_17489398,0,Indonesia,Shanghai,2022-12-12,2023-03-24
EPI_ISL_16382758,EPI_ISL_17511915,4,USA,Shanghai,2022-12-23,2023-03-24
EPI_ISL_17496337,EPI_ISL_17511922,1,Singapore,Shanghai,2023-04-06,2023-03-24
EPI_ISL_16449251,EPI_ISL_17489322,1,Indonesia,Sichuan,2022-12-12,2023-03-25
EPI_ISL_17425706,EPI_ISL_17494211,0,Indonesia,Jiangxi,2023-01-05,2023-03-25
EPI_ISL_16198865,EPI_ISL_17592178,3,Indonesia,Beijing,2022-11-30,2023-03-25
EPI_ISL_16811730,EPI_ISL_17490494,1,Germany,Hebei,2023-01-19,2023-03-25
EPI_ISL_17200642,EPI_ISL_17494055,1,United Kingdom,Jiangsu,2023-03-06,2023-03-25
EPI_ISL_16178438,EPI_ISL_17489394,4,Netherlands,Shanghai,2022-12-08,2023-03-25
EPI_ISL_16664290,EPI_ISL_17489395,2,USA,Shanghai,2023-01-10,2023-03-25
EPI_ISL_17241543,EPI_ISL_17489318,2,Israel,Sichuan,2023-03-09,2023-03-25
EPI_ISL_17045327,EPI_ISL_17514261,0,Malaysia,Xinjiang,2023-02-09,2023-03-25
EPI_ISL_17541538,EPI_ISL_17592177,0,Denmark,Beijing,2023-03-31,2023-03-26
EPI_ISL_18158847,EPI_ISL_17489390,2,Denmark,Shanghai,2023-04-10,2023-03-26
EPI_ISL_17496060,EPI_ISL_17489391,1,Singapore,Shanghai,2023-04-03,2023-03-26
EPI_ISL_16813565,EPI_ISL_17494198,2,Germany,Shanghai,2023-01-10,2023-03-26
EPI_ISL_17392866,EPI_ISL_17494199,3,Greece,Shanghai,2023-02-20,2023-03-26
EPI_ISL_17097295,EPI_ISL_17494200,1,United Kingdom,Shanghai,2023-02-21,2023-03-26
EPI_ISL_17202932,EPI_ISL_17489388,2,France,Shanghai,2023-02-26,2023-03-26
EPI_ISL_17514677,EPI_ISL_17489392,0,France,Shanghai,2023-04-03,2023-03-26
EPI_ISL_17496117,EPI_ISL_17489393,1,Singapore,Shanghai,2023-04-04,2023-03-26
EPI_ISL_17547358,EPI_ISL_17493167,1,Thailand,Shanghai,2023-04-04,2023-03-26
EPI_ISL_17275513,EPI_ISL_17511935,2,Netherlands,Shanghai,2023-03-10,2023-03-26
EPI_ISL_17649421,EPI_ISL_17511962,0,USA,Shanghai,2023-02-21,2023-03-26
EPI_ISL_18044049,EPI_ISL_17493636,1,Kuwait,Heilongjiang,2023-01-26,2023-03-27
EPI_ISL_17696520,EPI_ISL_17545706,1,Indonesia,Henan,2023-03-27,2023-03-27
EPI_ISL_17407934,EPI_ISL_17494170,3,Germany,Heilongjiang,2023-02-24,2023-03-27
EPI_ISL_17206395,EPI_ISL_17494040,2,Brunei,Zhejiang,2023-03-04,2023-03-27
EPI_ISL_17371188,EPI_ISL_17511894,3,USA,Shanghai,2023-03-13,2023-03-27
EPI_ISL_17743314,EPI_ISL_17536948,3,France,Henan,2023-05-09,2023-03-28
EPI_ISL_17669111,EPI_ISL_17684293,2,USA,Jiangsu,2023-05-06,2023-03-28
EPI_ISL_17534975,EPI_ISL_17494194,2,USA,Shanghai,2023-04-06,2023-03-28
EPI_ISL_17221894,EPI_ISL_17511828,2,United Kingdom,Shanghai,2023-02-23,2023-03-28
EPI_ISL_17558009,EPI_ISL_17494193,1,Israel,Shanghai,2023-03-15,2023-03-28
EPI_ISL_17081296,EPI_ISL_17511925,0,Bahrain,Shanghai,2023-02-07,2023-03-28
EPI_ISL_17723234,EPI_ISL_17511924,1,South Korea,Shanghai,2023-05-02,2023-03-28
EPI_ISL_17661262,EPI_ISL_17879909,0,Australia,Anhui,2023-05-02,2023-03-28
EPI_ISL_17093389,EPI_ISL_17494197,4,Austria,Shanghai,2023-01-30,2023-03-28
EPI_ISL_17500609,EPI_ISL_17495426,2,India,Shanghai,2023-04-02,2023-03-28
EPI_ISL_17496056,EPI_ISL_17495425,0,Singapore,Shanghai,2023-04-01,2023-03-28
EPI_ISL_17884324,EPI_ISL_17769942,0,Malaysia,Anhui,2023-05-29,2023-03-29
EPI_ISL_17768864,EPI_ISL_17492819,5,USA,Zhejiang,2023-05-19,2023-03-29
EPI_ISL_17655064,EPI_ISL_17511919,3,Indonesia,Shanghai,2023-04-21,2023-03-29
EPI_ISL_17669111,EPI_ISL_17684277,1,USA,Jiangsu,2023-05-06,2023-03-29
EPI_ISL_17563869,EPI_ISL_17495421,1,South Korea,Shanghai,2023-04-08,2023-03-29
EPI_ISL_17482742,EPI_ISL_17495423,2,Spain,Shanghai,2023-03-24,2023-03-29
EPI_ISL_17064892,EPI_ISL_17495424,1,USA,Shanghai,2023-02-07,2023-03-29
EPI_ISL_17099871,EPI_ISL_17495422,1,Sweden,Shanghai,2023-02-18,2023-03-29
EPI_ISL_16944962,EPI_ISL_17684317,5,USA,Jiangsu,2023-02-01,2023-03-30
EPI_ISL_18033032,EPI_ISL_17684316,0,Japan,Jiangsu,2023-04-10,2023-03-30
EPI_ISL_17428381,EPI_ISL_17495419,1,USA,Shanghai,2023-04-01,2023-03-30
EPI_ISL_17720461,EPI_ISL_17495416,5,India,Shanghai,2023-01-30,2023-03-30
EPI_ISL_17591032,EPI_ISL_17775430,5,Malaysia,Xinjiang,2023-01-19,2023-03-30
EPI_ISL_17544878,EPI_ISL_17789977,0,Czech Republic,Neimenggu,2023-03-21,2023-03-30
EPI_ISL_17743784,EPI_ISL_17495420,1,Malaysia,Shanghai,2023-04-23,2023-03-30
EPI_ISL_17661855,EPI_ISL_17495418,1,India,Shanghai,2022-12-23,2023-03-30
EPI_ISL_16743861,EPI_ISL_17495417,3,India,Shanghai,2023-01-18,2023-03-30
EPI_ISL_18079649,EPI_ISL_17684303,2,USA,Jiangsu,2023-05-19,2023-03-30
EPI_ISL_17854303,EPI_ISL_17511928,0,USA,Shanghai,2023-06-06,2023-03-30
EPI_ISL_17099792,EPI_ISL_17488928,0,Sweden,Shanghai,2023-02-22,2023-03-30
EPI_ISL_17669111,EPI_ISL_17684290,1,USA,Jiangsu,2023-05-06,2023-03-30
EPI_ISL_17390267,EPI_ISL_17493950,0,Netherlands,Shanghai,2023-03-13,2023-03-31
EPI_ISL_16975271,EPI_ISL_17493948,3,Singapore,Shanghai,2023-02-10,2023-03-31
EPI_ISL_18117280,EPI_ISL_17493947,0,South Korea,Shanghai,2023-07-23,2023-03-31
EPI_ISL_17474590,EPI_ISL_17492809,0,USA,Shanghai,2023-03-21,2023-03-31
EPI_ISL_17513024,EPI_ISL_17492811,2,Norway,Shanghai,2023-03-17,2023-03-31
EPI_ISL_16740362,EPI_ISL_17493949,3,Belgium,Shanghai,2023-01-14,2023-03-31
EPI_ISL_17099792,EPI_ISL_17511917,1,Sweden,Shanghai,2023-02-22,2023-03-31
EPI_ISL_17417510,EPI_ISL_17684299,0,Malaysia,Jiangsu,2023-03-23,2023-03-31
EPI_ISL_17790417,EPI_ISL_17769935,0,Singapore,Anhui,2023-06-01,2023-03-31
EPI_ISL_17535419,EPI_ISL_17684272,1,USA,Jiangsu,2023-04-08,2023-03-31
EPI_ISL_17503727,EPI_ISL_17584697,2,Indonesia,Guangdong,2023-03-29,2023-03-31
EPI_ISL_17395663,EPI_ISL_17511939,0,USA,Shanghai,2023-03-28,2023-04-01
EPI_ISL_17861549,EPI_ISL_17511940,0,USA,Shanghai,2023-05-21,2023-04-01
EPI_ISL_17500263,EPI_ISL_17511948,0,India,Shanghai,2023-03-15,2023-04-01
EPI_ISL_17153939,EPI_ISL_17765828,5,United Kingdom,Anhui,2023-02-23,2023-04-01
EPI_ISL_18507321,EPI_ISL_17765825,2,Japan,Anhui,2023-03-27,2023-04-01
EPI_ISL_17670662,EPI_ISL_17765831,1,Brazil,Anhui,2023-03-23,2023-04-01
EPI_ISL_17265342,EPI_ISL_17765795,0,Japan,Anhui,2023-02-25,2023-04-01
EPI_ISL_17519871,EPI_ISL_17765836,2,Germany,Anhui,2023-04-11,2023-04-01
EPI_ISL_17670662,EPI_ISL_17765819,1,Brazil,Anhui,2023-03-23,2023-04-01
EPI_ISL_17670662,EPI_ISL_17765821,1,Brazil,Anhui,2023-03-23,2023-04-01
EPI_ISL_17519871,EPI_ISL_17765814,1,Germany,Anhui,2023-04-11,2023-04-01
EPI_ISL_17670662,EPI_ISL_17765789,0,Brazil,Anhui,2023-03-23,2023-04-01
EPI_ISL_17398149,EPI_ISL_17765790,3,Austria,Anhui,2023-03-28,2023-04-01
EPI_ISL_17631543,EPI_ISL_17765797,0,Singapore,Anhui,2023-05-03,2023-04-01
EPI_ISL_17397702,EPI_ISL_17493944,3,France,Shanghai,2023-03-01,2023-04-01
EPI_ISL_17647097,EPI_ISL_17765813,0,South Korea,Anhui,2023-04-21,2023-04-01
EPI_ISL_16617503,EPI_ISL_17775605,1,Austria,Xinjiang,2023-01-16,2023-04-01
EPI_ISL_17824023,EPI_ISL_17493946,0,Australia,Shanghai,2023-03-23,2023-04-02
EPI_ISL_17500251,EPI_ISL_17511878,1,India,Shanghai,2023-03-15,2023-04-02
EPI_ISL_17425706,EPI_ISL_17696955,1,Indonesia,Henan,2023-01-05,2023-04-02
EPI_ISL_17883601,EPI_ISL_17536875,2,Japan,Sichuan,2023-05-12,2023-04-02
EPI_ISL_17333717,EPI_ISL_17536876,3,USA,Sichuan,2023-03-12,2023-04-02
EPI_ISL_17882133,EPI_ISL_17493945,1,Japan,Shanghai,2023-04-20,2023-04-02
EPI_ISL_16722505,EPI_ISL_17485548,5,United Kingdom,Fujian,2023-01-05,2023-04-02
EPI_ISL_16914724,EPI_ISL_17493924,1,Netherlands,Shanghai,2023-01-29,2023-04-02
EPI_ISL_17269143,EPI_ISL_17492821,1,Denmark,Zhejiang,2023-03-18,2023-04-02
EPI_ISL_16343327,EPI_ISL_17485544,1,USA,Fujian,2022-12-14,2023-04-02
EPI_ISL_16343327,EPI_ISL_17485543,0,USA,Fujian,2022-12-14,2023-04-02
EPI_ISL_17230936,EPI_ISL_17511802,2,South Korea,Shanghai,2023-02-23,2023-04-03
EPI_ISL_17776781,EPI_ISL_17785019,0,France,Beijing,2023-05-02,2023-04-03
EPI_ISL_17099323,EPI_ISL_17485662,2,USA,Shanghai,2022-12-19,2023-04-03
EPI_ISL_16975283,EPI_ISL_17493941,6,Singapore,Shanghai,2023-02-10,2023-04-03
EPI_ISL_17199940,EPI_ISL_17485560,0,Spain,Fujian,2023-03-06,2023-04-03
EPI_ISL_16115651,EPI_ISL_17775617,2,USA,Xinjiang,2022-12-01,2023-04-03
EPI_ISL_17433474,EPI_ISL_17684311,0,Singapore,Jiangsu,2023-03-30,2023-04-03
EPI_ISL_17806551,EPI_ISL_17684275,0,USA,Jiangsu,2023-01-24,2023-04-03
EPI_ISL_17343463,EPI_ISL_17493943,2,Malaysia,Shanghai,2023-03-16,2023-04-03
EPI_ISL_17269587,EPI_ISL_17511890,0,France,Shanghai,2023-02-27,2023-04-03
EPI_ISL_17631056,EPI_ISL_17488924,1,Japan,Shanghai,2023-04-19,2023-04-03
EPI_ISL_17190089,EPI_ISL_17493942,0,India,Shanghai,2023-02-28,2023-04-03
EPI_ISL_17201033,EPI_ISL_17511953,1,United Kingdom,Shanghai,2023-03-05,2023-04-04
EPI_ISL_17538694,EPI_ISL_17485620,0,South Korea,Shanghai,2023-03-29,2023-04-04
EPI_ISL_18050582,EPI_ISL_17485621,8,Iran,Shanghai,2023-02-12,2023-04-04
EPI_ISL_17222466,EPI_ISL_17775331,2,Finland,Xinjiang,2023-02-07,2023-04-04
EPI_ISL_16441911,EPI_ISL_17511958,1,United Kingdom,Shanghai,2022-12-30,2023-04-04
EPI_ISL_16996809,EPI_ISL_17511837,6,United Kingdom,Shanghai,2023-02-13,2023-04-04
EPI_ISL_17496065,EPI_ISL_17485618,0,Singapore,Shanghai,2023-04-01,2023-04-04
EPI_ISL_17396584,EPI_ISL_17697551,1,Australia,Henan,2023-03-17,2023-04-04
EPI_ISL_17045327,EPI_ISL_17784930,1,Malaysia,Beijing,2023-02-09,2023-04-04
EPI_ISL_17269871,EPI_ISL_17485641,2,India,Shanghai,2023-03-01,2023-04-04
